measurement_index,sample_index,Rs_V
26,19,0.0005763806
26,20,0.0005768575
26,21,0.0005772151
26,22,0.0005772151
26,23,0.0005775727
26,24,0.0005774535
27,0,0.0005669631
27,1,0.0005677976
27,2,0.0005681552
27,3,0.0005687512
27,4,0.0005697049
27,5,0.000570897
27,6,0.0005720891
27,7,0.0005729236
27,8,0.0005730428
27,9,0.0005729236
27,10,0.0005724467
27,11,0.0005718507
27,12,0.0005711354
27,13,0.0005700625
27,14,0.0005692281
27,15,0.0005683936
27,16,0.0005676784
27,17,0.0005674399
27,18,0.0005672015
27,19,0.0005672015
27,20,0.0005673207
27,21,0.0005675592
27,22,0.0005677976
27,23,0.0005679168
27,24,0.0005675592
28,0,0.0005687512
28,1,0.0005695857
28,2,0.0005701818
28,3,0.000570301
28,4,0.0005698241
28,5,0.0005692281
28,6,0.0005685128
28,7,0.0005675592
28,8,0.0005667247
28,9,0.0005656518
28,10,0.0005650558
28,11,0.0005646981
28,12,0.0005648173
28,13,0.0005649365
28,14,0.0005646981
28,15,0.0005646981
28,16,0.0005645789
28,17,0.0005644597
28,18,0.0005644597
28,19,0.0005646981
28,20,0.0005645789
28,21,0.0005645789
28,22,0.0005644597
28,23,0.0005644597
28,24,0.0005644597
29,0,0.0005674399
29,1,0.0005679168
29,2,0.0005676784
29,3,0.0005673207
29,4,0.0005669631
29,5,0.0005668439
29,6,0.0005663671
29,7,0.0005661286
29,8,0.0005661286
29,9,0.0005664863
29,10,0.0005675592
29,11,0.0005689897
29,12,0.000570301
29,13,0.0005712546
29,14,0.0005718507
29,15,0.0005720891
29,16,0.0005720891
29,17,0.0005722083
29,18,0.0005723275
29,19,0.0005723275
29,20,0.0005720891
29,21,0.0005718507
29,22,0.0005712546
29,23,0.000570301
29,24,0.0005688705
